,Type,ST,STNAME,COUNTY/METRO,Total households (2012-2016),Renter households (2012-2016),% of total households that are renters (2012-2016),Minimum wage,Estimated mean renter wage,SSI monthly payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI ,Estimated renter median income,Rent affordable at renter median income,Rent affordable at 30% of AMI,Rent affordable with full-time job paying min wage,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
STATE,1,AK,Alaska,,250235,90922,36,9.84,18.84,1112,885,999,1289,1832,2204,91861,27558,53292,1332,689,512,980,334,35387,39951,51576,73268,88160,17.01,19.21,24.8,35.23,42.38,69,78,101,143,172,36,41,53,75,90
NONMETRO,2,AK,Alaska,,79124,27465,35,9.84,22.96,1112,872,973,1225,1636,1935,81165,24350,52514,1313,609,512,1194,334,34873,38900,48986,65434,77403,16.77,18.7,23.55,31.46,37.21,68,76,96,128,151,29,33,41,55,65
METRO,3,AK,Alaska,Anchorage HMFA,104969,41702,40,9.84,17.82,1112,923,1035,1337,1945,2355,99500,29850,55797,1395,746,512,927,334,36920,41400,53480,77800,94200,17.75,19.9,25.71,37.4,45.29,72,81,105,152,184,40,45,58,84,102
METRO,3,AK,Alaska,Fairbanks MSA,35303,14298,41,9.84,16.3,1112,873,1029,1368,1990,2409,93000,27900,52723,1318,698,512,848,334,34920,41160,54720,79600,96360,16.79,19.79,26.31,38.27,46.33,68,80,107,156,188,41,49,65,94,114
METRO,3,AK,Alaska,Matanuska-Susitna Borough HMFA,30839,7457,24,9.84,11.11,1112,740,835,1111,1616,1957,92000,27600,43235,1081,690,512,578,334,29600,33400,44440,64640,78280,14.23,16.06,21.37,31.08,37.63,58,65,87,126,153,51,58,77,112,135
COUNTY,4,AK,Alaska,Aleutians East Borough,788,345,44,9.84,25.02,1112,751,915,1051,1318,1431,67400,20220,65189,1630,506,512,1301,334,30040,36600,42040,52720,57240,14.44,17.6,20.21,25.35,27.52,59,72,82,103,112,23,28,32,41,44
COUNTY,4,AK,Alaska,Aleutians West Census Area,1186,850,72,9.84,27.77,1112,1038,1224,1628,2041,2505,94300,28290,87275,2182,707,512,1444,334,41520,48960,65120,81640,100200,19.96,23.54,31.31,39.25,48.17,81,96,127,160,196,29,34,45,57,69
COUNTY,4,AK,Alaska,Anchorage Municipality,104969,41702,40,9.84,17.82,1112,923,1035,1337,1945,2355,99500,29850,55797,1395,746,512,927,334,36920,41400,53480,77800,94200,17.75,19.9,25.71,37.4,45.29,72,81,105,152,184,40,45,58,84,102
COUNTY,4,AK,Alaska,Bethel Census Area,4555,1634,36,9.84,20.09,1112,1058,1290,1481,1857,2017,52600,15780,51670,1292,395,512,1045,334,42320,51600,59240,74280,80680,20.35,24.81,28.48,35.71,38.79,83,101,116,145,158,41,49,57,71,77
COUNTY,4,AK,Alaska,Bristol Bay Borough,360,163,45,9.84,19.42,1112,892,949,1248,1610,1700,94900,28470,68857,1721,712,512,1010,334,35680,37960,49920,64400,68000,17.15,18.25,24,30.96,32.69,70,74,98,126,133,35,38,49,64,67
COUNTY,4,AK,Alaska,Denali Borough,707,174,25,9.84,24.5,1112,1042,1130,1458,1840,2244,102900,30870,97872,2447,772,512,1274,334,41680,45200,58320,73600,89760,20.04,21.73,28.04,35.38,43.15,81,88,114,144,175,33,35,46,58,70
COUNTY,4,AK,Alaska,Dillingham Census Area,1375,543,39,9.84,18.19,1112,1013,1046,1201,1663,1848,60500,18150,48317,1208,454,512,946,334,40520,41840,48040,66520,73920,19.48,20.12,23.1,31.98,35.54,79,82,94,130,144,43,44,51,70,78
COUNTY,4,AK,Alaska,Fairbanks North Star Borough,35303,14298,41,9.84,16.3,1112,873,1029,1368,1990,2409,93000,27900,52723,1318,698,512,848,334,34920,41160,54720,79600,96360,16.79,19.79,26.31,38.27,46.33,68,80,107,156,188,41,49,65,94,114
COUNTY,4,AK,Alaska,Haines Borough,1170,367,31,9.84,12.91,1112,704,858,985,1247,1516,73200,21960,42279,1057,549,512,671,334,28160,34320,39400,49880,60640,13.54,16.5,18.94,23.98,29.15,55,67,77,97,119,42,51,59,74,90
COUNTY,4,AK,Alaska,Hoonah-Angoon Census Area,836,239,29,9.84,9.61,1112,535,650,839,1139,1143,70700,21210,35656,891,530,512,500,334,21400,26000,33560,45560,45720,10.29,12.5,16.13,21.9,21.98,42,51,66,89,89,43,52,67,91,92
COUNTY,4,AK,Alaska,Juneau City and Borough,12138,4322,36,9.84,14.86,1112,910,1072,1426,2039,2512,104900,31470,60734,1518,787,512,773,334,36400,42880,57040,81560,100480,17.5,20.62,27.42,39.21,48.31,71,84,111,159,196,47,55,74,106,130
COUNTY,4,AK,Alaska,Kenai Peninsula Borough,21481,6099,28,9.84,14.98,1112,814,819,1082,1403,1595,82900,24870,45579,1139,622,512,779,334,32560,32760,43280,56120,63800,15.65,15.75,20.81,26.98,30.67,64,64,85,110,125,42,42,56,72,82
COUNTY,4,AK,Alaska,Ketchikan Gateway Borough,5209,2109,40,9.84,14.52,1112,801,944,1255,1649,2210,87400,26220,46634,1166,656,512,755,334,32040,37760,50200,65960,88400,15.4,18.15,24.13,31.71,42.5,63,74,98,129,173,42,50,66,87,117
COUNTY,4,AK,Alaska,Kodiak Island Borough,4585,1800,39,9.84,13.99,1112,898,924,1061,1543,1738,84400,25320,51946,1299,633,512,727,334,35920,36960,42440,61720,69520,17.27,17.77,20.4,29.67,33.42,70,72,83,121,136,49,51,58,85,96
COUNTY,4,AK,Alaska,Kusilvak Census Area,1734,450,26,9.84,12.56,1112,659,804,923,1157,1257,41500,12450,32317,808,311,512,653,334,26360,32160,36920,46280,50280,12.67,15.46,17.75,22.25,24.17,52,63,72,90,98,40,49,57,71,77
COUNTY,4,AK,Alaska,Lake and Peninsula Borough,468,150,32,9.84,20.85,1112,629,752,881,1105,1356,57700,17310,43133,1078,433,512,1084,334,25160,30080,35240,44200,54240,12.1,14.46,16.94,21.25,26.08,49,59,69,86,106,23,28,33,41,50
COUNTY,4,AK,Alaska,Matanuska-Susitna Borough,30839,7457,24,9.84,11.11,1112,740,835,1111,1616,1957,92000,27600,43235,1081,690,512,578,334,29600,33400,44440,64640,78280,14.23,16.06,21.37,31.08,37.63,58,65,87,126,153,51,58,77,112,135
COUNTY,4,AK,Alaska,Nome Census Area,2879,1147,40,9.84,23.88,1112,970,1285,1521,1907,2072,50900,15270,50826,1271,382,512,1242,334,38800,51400,60840,76280,82880,18.65,24.71,29.25,36.67,39.85,76,100,119,149,162,31,41,49,61,67
COUNTY,4,AK,Alaska,North Slope Borough,2018,1008,50,9.84,54.27,1112,926,1028,1180,1598,2040,83200,24960,78498,1962,624,512,2822,334,37040,41120,47200,63920,81600,17.81,19.77,22.69,30.73,39.23,72,80,92,125,159,13,15,17,23,29
